Dataset,Class,Precision,Recall,F1-Score,F2-Score,Support
Validation,no_fall,0.9134328358208955,0.96,0.9361376673040153,0.9503105590062112,1275
Validation,fall,0.9547069271758437,0.9026028547439127,0.927924039706517,0.9125636672325976,1191
Test,no_fall,0.91203007518797,0.9513725490196079,0.9312859884836853,0.9432348367029549,1275
Test,fall,0.9454705364995603,0.9018456375838926,0.9231429798196651,0.9102455546147333,1192
